Attaching to elk_filebeat_1, elk_metricbeat_1, elk_logstash_1, elk_kibana_1, elk_elasticsearch_1
[33mmetricbeat_1     |[0m 2019-06-11T06:16:52.458Z	INFO	instance/beat.go:571	Home path: [/usr/share/metricbeat] Config path: [/usr/share/metricbeat] Data path: [/usr/share/metricbeat/data] Logs path: [/usr/share/metricbeat/logs]
[33mmetricbeat_1     |[0m 2019-06-11T06:16:52.468Z	INFO	instance/beat.go:579	Beat ID: 307a51a5-a32d-47df-9f01-7953c3e7c264
[33mmetricbeat_1     |[0m 2019-06-11T06:16:52.472Z	INFO	[index-management.ilm]	ilm/ilm.go:129	Policy name: metricbeat-7.1.1
[33mmetricbeat_1     |[0m 2019-06-11T06:16:52.473Z	INFO	[seccomp]	seccomp/seccomp.go:116	Syscall filter successfully installed
[33mmetricbeat_1     |[0m 2019-06-11T06:16:52.473Z	INFO	[beat]	instance/beat.go:827	Beat info	{"system_info": {"beat": {"path": {"config": "/usr/share/metricbeat", "data": "/usr/share/metricbeat/data", "home": "/usr/share/metricbeat", "logs": "/usr/share/metricbeat/logs"}, "type": "metricbeat", "uuid": "307a51a5-a32d-47df-9f01-7953c3e7c264"}}}
[33mmetricbeat_1     |[0m 2019-06-11T06:16:52.473Z	INFO	[beat]	instance/beat.go:836	Build info	{"system_info": {"build": {"commit": "3358d9a5a09e3c6709a2d3aaafde628ea34e8419", "libbeat": "7.1.1", "time": "2019-05-23T13:23:10.000Z", "version": "7.1.1"}}}
[33mmetricbeat_1     |[0m 2019-06-11T06:16:52.473Z	INFO	[beat]	instance/beat.go:839	Go runtime info	{"system_info": {"go": {"os":"linux","arch":"amd64","max_procs":4,"version":"go1.11.5"}}}
[33mmetricbeat_1     |[0m 2019-06-11T06:16:52.480Z	INFO	[beat]	instance/beat.go:843	Host info	{"system_info": {"host": {"architecture":"x86_64","boot_time":"2019-06-11T05:37:49Z","containerized":true,"name":"1d1055e3a008","ip":["127.0.0.1/8","172.18.0.6/16"],"kernel_version":"5.0.0-13-generic","mac":["02:42:ac:12:00:06"],"os":{"family":"redhat","platform":"centos","name":"CentOS Linux","version":"7 (Core)","major":7,"minor":6,"patch":1810,"codename":"Core"},"timezone":"UTC","timezone_offset_sec":0}}}
[33mmetricbeat_1     |[0m 2019-06-11T06:16:52.482Z	INFO	[beat]	instance/beat.go:872	Process info	{"system_info": {"process": {"capabilities": {"inheritable":["chown","dac_override","fowner","fsetid","kill","setgid","setuid","setpcap","net_bind_service","net_raw","sys_chroot","mknod","audit_write","setfcap"],"permitted":["chown","dac_override","fowner","fsetid","kill","setgid","setuid","setpcap","net_bind_service","net_raw","sys_chroot","mknod","audit_write","setfcap"],"effective":["chown","dac_override","fowner","fsetid","kill","setgid","setuid","setpcap","net_bind_service","net_raw","sys_chroot","mknod","audit_write","setfcap"],"bounding":["chown","dac_override","fowner","fsetid","kill","setgid","setuid","setpcap","net_bind_service","net_raw","sys_chroot","mknod","audit_write","setfcap"],"ambient":null}, "cwd": "/usr/share/metricbeat", "exe": "/usr/share/metricbeat/metricbeat", "name": "metricbeat", "pid": 1, "ppid": 0, "seccomp": {"mode":"filter","no_new_privs":true}, "start_time": "2019-06-11T06:16:50.420Z"}}}
[33mmetricbeat_1     |[0m 2019-06-11T06:16:52.482Z	INFO	instance/beat.go:280	Setup Beat: metricbeat; Version: 7.1.1
[33mmetricbeat_1     |[0m 2019-06-11T06:16:52.482Z	INFO	[index-management]	idxmgmt/std.go:165	Set output.elasticsearch.index to 'metricbeat-7.1.1' as ILM is enabled.
[33mmetricbeat_1     |[0m 2019-06-11T06:16:52.496Z	INFO	elasticsearch/client.go:165	Elasticsearch url: http://elasticsearch:9200
[33mmetricbeat_1     |[0m 2019-06-11T06:16:52.496Z	INFO	[publisher]	pipeline/module.go:97	Beat name: 1d1055e3a008
[33mmetricbeat_1     |[0m 2019-06-11T06:16:52.513Z	WARN	[cfgwarn]	docker/docker.go:57	BETA: The docker autodiscover is beta
[33mmetricbeat_1     |[0m 2019-06-11T06:16:52.514Z	WARN	[cfgwarn]	hints/metrics.go:59	BETA: The hints builder is beta
[33mmetricbeat_1     |[0m 2019-06-11T06:16:52.518Z	INFO	[monitoring]	log/log.go:117	Starting metrics logging every 30s
[33mmetricbeat_1     |[0m 2019-06-11T06:16:52.518Z	INFO	instance/beat.go:391	metricbeat start running.
[33mmetricbeat_1     |[0m 2019-06-11T06:16:52.520Z	INFO	filesystem/filesystem.go:57	Ignoring filesystem types: sysfs, rootfs, ramfs, bdev, proc, cpuset, cgroup, cgroup2, tmpfs, devtmpfs, configfs, debugfs, tracefs, securityfs, sockfs, dax, bpf, pipefs, hugetlbfs, devpts, ecryptfs, fuse, fusectl, mqueue, pstore, autofs, overlay, aufs
[33mmetricbeat_1     |[0m 2019-06-11T06:16:52.520Z	INFO	fsstat/fsstat.go:59	Ignoring filesystem types: sysfs, rootfs, ramfs, bdev, proc, cpuset, cgroup, cgroup2, tmpfs, devtmpfs, configfs, debugfs, tracefs, securityfs, sockfs, dax, bpf, pipefs, hugetlbfs, devpts, ecryptfs, fuse, fusectl, mqueue, pstore, autofs, overlay, aufs
[33mmetricbeat_1     |[0m 2019-06-11T06:16:52.521Z	INFO	autodiscover/autodiscover.go:104	Starting autodiscover manager
[33mmetricbeat_1     |[0m 2019-06-11T06:16:52.521Z	INFO	cfgfile/reload.go:150	Config reloader started
[33mmetricbeat_1     |[0m 2019-06-11T06:16:52.529Z	INFO	filesystem/filesystem.go:57	Ignoring filesystem types: sysfs, rootfs, ramfs, bdev, proc, cpuset, cgroup, cgroup2, tmpfs, devtmpfs, configfs, debugfs, tracefs, securityfs, sockfs, dax, bpf, pipefs, hugetlbfs, devpts, ecryptfs, fuse, fusectl, mqueue, pstore, autofs, overlay, aufs
[33mmetricbeat_1     |[0m 2019-06-11T06:16:52.530Z	INFO	fsstat/fsstat.go:59	Ignoring filesystem types: sysfs, rootfs, ramfs, bdev, proc, cpuset, cgroup, cgroup2, tmpfs, devtmpfs, configfs, debugfs, tracefs, securityfs, sockfs, dax, bpf, pipefs, hugetlbfs, devpts, ecryptfs, fuse, fusectl, mqueue, pstore, autofs, overlay, aufs
[33mmetricbeat_1     |[0m 2019-06-11T06:16:52.530Z	INFO	cfgfile/reload.go:205	Loading of config files completed.
[33mmetricbeat_1     |[0m 2019-06-11T06:16:55.473Z	INFO	add_cloud_metadata/add_cloud_metadata.go:346	add_cloud_metadata: hosting provider type not detected.
[33mmetricbeat_1     |[0m 2019-06-11T06:16:56.475Z	INFO	pipeline/output.go:95	Connecting to backoff(elasticsearch(http://elasticsearch:9200))
[33mmetricbeat_1     |[0m 2019-06-11T06:16:57.707Z	ERROR	pipeline/output.go:100	Failed to connect to backoff(elasticsearch(http://elasticsearch:9200)): Get http://elasticsearch:9200: dial tcp 172.18.0.2:9200: connect: connection refused
[33mmetricbeat_1     |[0m 2019-06-11T06:16:57.707Z	INFO	pipeline/output.go:93	Attempting to reconnect to backoff(elasticsearch(http://elasticsearch:9200)) with 1 reconnect attempt(s)
[33mmetricbeat_1     |[0m 2019-06-11T06:17:01.420Z	ERROR	pipeline/output.go:100	Failed to connect to backoff(elasticsearch(http://elasticsearch:9200)): Get http://elasticsearch:9200: dial tcp 172.18.0.2:9200: connect: connection refused
[33mmetricbeat_1     |[0m 2019-06-11T06:17:01.420Z	INFO	pipeline/output.go:93	Attempting to reconnect to backoff(elasticsearch(http://elasticsearch:9200)) with 2 reconnect attempt(s)
[33mmetricbeat_1     |[0m 2019-06-11T06:17:05.425Z	ERROR	pipeline/output.go:100	Failed to connect to backoff(elasticsearch(http://elasticsearch:9200)): Get http://elasticsearch:9200: dial tcp 172.18.0.2:9200: connect: connection refused
[33mmetricbeat_1     |[0m 2019-06-11T06:17:05.425Z	INFO	pipeline/output.go:93	Attempting to reconnect to backoff(elasticsearch(http://elasticsearch:9200)) with 3 reconnect attempt(s)
[33mmetricbeat_1     |[0m 2019-06-11T06:17:15.287Z	ERROR	pipeline/output.go:100	Failed to connect to backoff(elasticsearch(http://elasticsearch:9200)): Get http://elasticsearch:9200: dial tcp 172.18.0.2:9200: connect: connection refused
[33mmetricbeat_1     |[0m 2019-06-11T06:17:15.287Z	INFO	pipeline/output.go:93	Attempting to reconnect to backoff(elasticsearch(http://elasticsearch:9200)) with 4 reconnect attempt(s)
